Région,Type de protection,Année de protection,Commune,Appellation courante
Provence-Alpes-Côte d'Azur,I,2011,Fos-sur-Mer,Phare de Saint-Gervais
Provence-Alpes-Côte d'Azur,I,1989,Jouques,Usine hydro-électrique
Provence-Alpes-Côte d'Azur,I,1981,Marseille,Maison dite Gaston Castel
Provence-Alpes-Côte d'Azur,I,1989,Marseille 15e arrondissement,Eglise Saint-Louis
Provence-Alpes-Côte d'Azur,C,1997,Marseille 1er arrondissement,Opéra municipal
Provence-Alpes-Côte d'Azur,I,1993,Marseille 2e arrondissement,Immeuble
Provence-Alpes-Côte d'Azur,C,2012,Marseille 7e arrondissement,Phare du Planier
Provence-Alpes-Côte d'Azur,C,1986,Marseille 8e arrondissement,Unité d'habitation Le Corbusier dite Cité Radieuse
Basse-Normandie (Normandie),I,1998,Arromanches-les-Bains,Ancienne station radar
Basse-Normandie (Normandie),I,1992,Asnelles,Batterie de défense de plage
Basse-Normandie (Normandie),I,2003,Caen,Ancienne chambre de commerce et d'industrie
Basse-Normandie (Normandie),I,2010,Caen,Bureau de poste Gambetta
Basse-Normandie (Normandie),I,2005,Caen,Eglise du Sacré-Coeur de la Guérinière
Basse-Normandie (Normandie),C,2007,Caen,Eglise Saint-Julien
Basse-Normandie (Normandie),I&C,2005,Caen,Monastère des Bénédictines
Basse-Normandie (Normandie),C,2011,Caen,Réservoir ou château d'eau de la Guérinière
Basse-Normandie (Normandie),C,2012,Caen,Université de Caen - Basse-Normandie
Basse-Normandie (Normandie),I,2010,Cahagnes,Eglise
Basse-Normandie (Normandie),I,2010,Deauville,Gare SNCF de Trouville - Deauville
Basse-Normandie (Normandie),I,1991,Dives-sur-Mer,Maison dite La Maison Bleue
Basse-Normandie (Normandie),I,2010,Falaise,Lycée Louis Liard
Basse-Normandie (Normandie),I,2010,Falaise,Marché couvert
Basse-Normandie (Normandie),I,2005,Fontaine-le-Pin,Eglise Saint-Pierre
Basse-Normandie (Normandie),C,2005,Glanville,Villa Sayer
Basse-Normandie (Normandie),I,2010,Lisieux,Basilique Sainte-Thérèse
Basse-Normandie (Normandie),C,2006,Lisieux,Eglise Saint-Désir
Basse-Normandie (Normandie),C,2001,Longues-sur-Mer,Batterie d'artillerie de Longues
Basse-Normandie (Normandie),I,2010,May-sur-Orne,Eglise paroissiale Saint-Firmin
Basse-Normandie (Normandie),C,2001,Merville-Franceville-Plage,Batterie d'artillerie de Merville
Basse-Normandie (Normandie),I,2010,Mézidon-Canon,Groupe scolaire Jean-Jaurès et mairie annexe de Canon
Basse-Normandie (Normandie),I,1994,Ouistreham,Ancien poste de direction de tir de Riva-Bella
Basse-Normandie (Normandie),I,1992,Trouville-sur-Mer,Halle aux poissons dite poissonnerie
Basse-Normandie (Normandie),I,2010,Vire,Hôtel de ville
Auvergne (Auvergne-Rhône-Alpes),I,2006,Aurillac,Eglise du Sacré Coeur
Poitou-Charentes (Nouvelle-Aquitaine),I,2014,Angoulême,Maison
Poitou-Charentes (Nouvelle-Aquitaine),I,2002,Confolens,"Ancien abattoir, actuellement ateliers municipaux"
Poitou-Charentes (Nouvelle-Aquitaine),I,2010,Voulgézac,Moulin de Nanteuillet
Poitou-Charentes (Nouvelle-Aquitaine),I,2002,Ars-en-Ré,Batterie d'artillerie Kora-Karola
Poitou-Charentes (Nouvelle-Aquitaine),I,2002,Mathes (Les),Batterie d'artillerie Rest Adler Cosel (le Requin)
Poitou-Charentes (Nouvelle-Aquitaine),I,2011,Nantillé,Jardin de Gabriel
Poitou-Charentes (Nouvelle-Aquitaine),I,2002,Rochelle (La),Eglise Saint-André et Sainte-Jeanne-d'Arc de Fétilly
Poitou-Charentes (Nouvelle-Aquitaine),I,2002,Rochelle (La),Groupe scolaire Paul-Doumer
Poitou-Charentes (Nouvelle-Aquitaine),I,2002,Rochelle (La),Groupe scolaire Pierre-Loti
Poitou-Charentes (Nouvelle-Aquitaine),C,2002,Rochelle (La),Slip way
Poitou-Charentes (Nouvelle-Aquitaine),I,2002,Royan,Centre protestant
Poitou-Charentes (Nouvelle-Aquitaine),C,1988,Royan,Eglise Notre-Dame
Poitou-Charentes (Nouvelle-Aquitaine),I,2007,Royan,Maison
Poitou-Charentes (Nouvelle-Aquitaine),C,2002,Royan,Marché couvert
Poitou-Charentes (Nouvelle-Aquitaine),I,2011,Royan,Palais des Congrès
Poitou-Charentes (Nouvelle-Aquitaine),I,2004,Royan,Résidence Foncillon
Poitou-Charentes (Nouvelle-Aquitaine),I,2002,Royan,Villa Hélianthe
Poitou-Charentes (Nouvelle-Aquitaine),I,2002,Royan,Villa Ombre Blanche
Poitou-Charentes (Nouvelle-Aquitaine),I,1992,Saint-Georges-d'Oléron,Villa Blockhaus
Poitou-Charentes (Nouvelle-Aquitaine),I,1998,Saintes,Temple protestant de Saintes
Poitou-Charentes (Nouvelle-Aquitaine),I,2002,Tremblade (La),Batterie Muschel
Poitou-Charentes (Nouvelle-Aquitaine),I,2011,Tremblade (La),Phare de la Coubre
Centre (Centre-Val de Loire),I,2005,Bourges,"Ancien grand magasin ""Aux Dames de France"""
Centre (Centre-Val de Loire),I,2005,Bourges,"Ancien grand magasin ""Aux Nouvelles Galeries"""
Centre (Centre-Val de Loire),I,1994,Bourges,"Ancienne salle des fêtes, actuellement maison de la Culture et école de musique"
Centre (Centre-Val de Loire),I,2005,Bourges,"Grand magasin des anciens ""Etablissements Aubrun"""
Centre (Centre-Val de Loire),I,2001,Bourges,Immeuble de l'entreprise Leiseing
Centre (Centre-Val de Loire),I,2001,Bourges,"Internat du lycée de jeunes filles, actuel lycée Marguerite de Navarre"
Centre (Centre-Val de Loire),I,2004,Bourges,Recette principale et direction départementale de la Poste
Centre (Centre-Val de Loire),I,2008,Neuvy-sur-Barangeon,"Château de Saint-Hubert, devenu petit séminaire Saint-Louis"
Limousin (Nouvelle-Aquitaine),I,2005,Brive-la-Gaillarde,Cinéma Rex
Limousin (Nouvelle-Aquitaine),I,2012,Egletons,"Centre communautaire du village de vacances du Gril, dit aussi "" domaine du Lac """
Limousin (Nouvelle-Aquitaine),I,1977,Tulle,Théâtre municipal L'Eden
Corse,I,1992,Ajaccio,Ancienne manufacture Alban
Corse,I,1991,Piana,Hôtel Les Roches Rouges
Bourgogne (Bourgogne-Franche-Comté),I,2002,Beaune,"Ecole de jeunes filles, actuellement collège Jules Ferry"
Bourgogne (Bourgogne-Franche-Comté),I,2012,Corpeau,Ancienne station service du Pont de Paris
Bourgogne (Bourgogne-Franche-Comté),I,2012,Dijon,Ancien garage pour cycles et automobiles dit garage Alizon
Bourgogne (Bourgogne-Franche-Comté),I,1986,Dijon,Cinéma Eldorado
Bourgogne (Bourgogne-Franche-Comté),C,2011,Dijon,Eglise Sainte-Bernadette
Bourgogne (Bourgogne-Franche-Comté),I,2012,Dijon,Faculté des sciences
Bourgogne (Bourgogne-Franche-Comté),I,2013,Dijon,Hôtel des Postes
Bourgogne (Bourgogne-Franche-Comté),I,1975,Dijon,Immeuble Modern style
Bourgogne (Bourgogne-Franche-Comté),I,2007,Dijon,Villa Vurpillot
Bretagne,I,1995,Dinan,Gare S.N.C.F.
Bretagne,I,2009,Etables-sur-Mer,Villa Le Caruhel
Bretagne,I,1995,Fréhel,Villa Collignon
Bretagne,I,1995,Lannion,Chapelle de l'Institution Saint-Joseph (actuellement collège Saint-Joseph)
Bretagne,I,1995,Pléneuf-Val-André,Villa Les Pommiers
Bretagne,I,1995,Saint-Brieuc,Grand Séminaire
Bretagne,I,1995,Saint-Quay-Portrieux,Cinéma-dancing
Limousin (Nouvelle-Aquitaine),I,2004,Saint-Vaury,Eglise Saint-Julien-de-Brioude et Saint-Vaury
Poitou-Charentes (Nouvelle-Aquitaine),I,2003,Niort,Hôpital de Niort
Poitou-Charentes (Nouvelle-Aquitaine),C,2012,Saint-Maixent-l'Ecole,"Ancienne abbaye, actuellement Caserne Canclaux"
Aquitaine (Nouvelle-Aquitaine),I,2008,Bergerac,Maison Pic
Aquitaine (Nouvelle-Aquitaine),I,2000,Ribérac,Eglise Notre-Dame de la Paix
Franche-Comté (Bourgogne-Franche-Comté),I,2009,Audincourt,Eglise de l'Immaculée Conception
Franche-Comté (Bourgogne-Franche-Comté),C,1996,Audincourt,Eglise du Sacré-Coeur
Franche-Comté (Bourgogne-Franche-Comté),I,1986,Besançon,Usine Dodane
Ile-de-France,I,2002,Bures-sur-Yvette,"Anneau de collisions d'Orsay, sis au Centre Universitaire d'Orsay"
Ile-de-France,I,1987,Corbeil-Essonnes,Grands Moulins de Corbeil
Ile-de-France,I,1974,Sainte-Geneviève-des-Bois,Eglise orthodoxe russe Notre-Dame-de-l'Assomption
Haute-Normandie (Normandie),I,1975,Saint-Pierre-du-Vauvray,Pont sur la Seine
Centre (Centre-Val de Loire),I,2002,Chartres,Eglise Saint-Jean-Baptiste
Centre (Centre-Val de Loire),I,1994,Chartres,Hôtel des Postes
Centre (Centre-Val de Loire),I,1995,Coudray (Le),Séminaire des barbelés
Centre (Centre-Val de Loire),I,2002,Lèves,Eglise Saint-Lazare
Centre (Centre-Val de Loire),I,2003,Senonches,Cinéma l'Ambiance
Bretagne,I,1997,Bénodet,"ancienne villa Magdalena ou Kermadalen, puis villa le Minaret, actuellement Hôtel le Minaret"
Bretagne,I,1997,Brest,"Hôpital Augustin-Morvan, actuellement Centre hospitalier universitaire"
Bretagne,I,1995,Brest,Villa Mathon
Bretagne,I,1995,Locquénolé,"Maison Kerautem, dite manoir de Lesenor"
Bretagne,I,1996,Ploumoguer,Maison Quéré
Bretagne,I,2006,Quimper,"Immeuble dit ""Ty Kodak"""
Languedoc-Roussillon (Occitanie),I,1993,Aramon,Arènes
Languedoc-Roussillon (Occitanie),I,2014,Bagnols-sur-Cèze,Villa de la Cité du Bosquet
Languedoc-Roussillon (Occitanie),I,2014,Bagnols-sur-Cèze,Villa de la Cité du Bosquet
Languedoc-Roussillon (Occitanie),I,2008,Grand-Combe (La),Puits Ricard
Languedoc-Roussillon (Occitanie),I,2011,Lédenon,Villa solaire Gosselin située quartier des Garrigues-Basses
Languedoc-Roussillon (Occitanie),I,2002,Nîmes,Eglise Notre-Dame du Suffrage et Saint-Dominique
Languedoc-Roussillon (Occitanie),I,2002,Nîmes,Lycée technologique régional Dhuoda
Languedoc-Roussillon (Occitanie),I,2011,Nîmes,Villa Roche
Languedoc-Roussillon (Occitanie),I,2013,Saint-Théodorit,Ancienne cave coopérative
Languedoc-Roussillon (Occitanie),I,2013,Tavel,Cave coopérative de Tavel
Aquitaine (Nouvelle-Aquitaine),I,1991,Bègles,Piscine municipale - établissement de bains-douches
Aquitaine (Nouvelle-Aquitaine),C,1998,Bordeaux,Bourse du Travail
Aquitaine (Nouvelle-Aquitaine),I,2014,Bordeaux,Caisse d'Epargne de Meriadeck
Aquitaine (Nouvelle-Aquitaine),I,2014,Bordeaux,Caserne des pompiers de La Benauge
Aquitaine (Nouvelle-Aquitaine),I,2002,Floirac,Maison Lemoine
Aquitaine (Nouvelle-Aquitaine),I,2002,Langoiran,Cinéma Splendid
Aquitaine (Nouvelle-Aquitaine),I,1990,Lège-Cap-Ferret,Maison du lotissement Le Corbusier
Aquitaine (Nouvelle-Aquitaine),I,1990,Lège-Cap-Ferret,Maison du lotissement Le Corbusier
Aquitaine (Nouvelle-Aquitaine),I,1990,Lège-Cap-Ferret,Maison du lotissement Le Corbusier
Aquitaine (Nouvelle-Aquitaine),I,1990,Lège-Cap-Ferret,Maison du lotissement Le Corbusier
Aquitaine (Nouvelle-Aquitaine),I,1990,Lège-Cap-Ferret,Maison du lotissement Le Corbusier
Aquitaine (Nouvelle-Aquitaine),I,1990,Lège-Cap-Ferret,Maison du lotissement Le Corbusier
Aquitaine (Nouvelle-Aquitaine),I,1990,Lège-Cap-Ferret,Maison du lotissement Le Corbusier
Aquitaine (Nouvelle-Aquitaine),I,2000,Lormont,Eglise paroissiale du Saint-Esprit
Aquitaine (Nouvelle-Aquitaine),C,1980,Pessac,Immeuble faisant partie du Quartier moderne de Frugès
Aquitaine (Nouvelle-Aquitaine),I,2009,Pessac,Maison
Aquitaine (Nouvelle-Aquitaine),I,2009,Pessac,Maison
Aquitaine (Nouvelle-Aquitaine),I,2011,Pessac,Maison
Aquitaine (Nouvelle-Aquitaine),I,2009,Pessac,Maison
Aquitaine (Nouvelle-Aquitaine),I,2009,Pessac,Maison
Aquitaine (Nouvelle-Aquitaine),I,2009,Pessac,Maison
Aquitaine (Nouvelle-Aquitaine),I,2009,Pessac,Maison
Aquitaine (Nouvelle-Aquitaine),I,2011,Pessac,Maison
Aquitaine (Nouvelle-Aquitaine),I,2012,Pessac,Maison
Aquitaine (Nouvelle-Aquitaine),I,2012,Pessac,Maison
Aquitaine (Nouvelle-Aquitaine),I,2011,Pessac,"Maison "" jumelle "" du lotissement Frugès"
Aquitaine (Nouvelle-Aquitaine),I,2011,Pessac,Maison de type gratte-ciel
Aquitaine (Nouvelle-Aquitaine),I,2011,Pessac,Maison de type gratte-ciel
Aquitaine (Nouvelle-Aquitaine),I,2011,Pessac,Maison de type Quinconce
Aquitaine (Nouvelle-Aquitaine),C,2013,Pessac,Maison du lotissement Frugès
Aquitaine (Nouvelle-Aquitaine),C,2013,Pessac,Maison du lotissement Frugès
Aquitaine (Nouvelle-Aquitaine),C,2013,Pessac,Maison du lotissement Frugès
Aquitaine (Nouvelle-Aquitaine),C,2013,Pessac,Maison du lotissement Frugès de type quinconce
Aquitaine (Nouvelle-Aquitaine),C,2006,Podensac,Château Chavat
Aquitaine (Nouvelle-Aquitaine),I,2007,Saint-Symphorien,"Maison Siclis, ancien castel Martchiot"
Aquitaine (Nouvelle-Aquitaine),I,2011,Teste-de-Buch (La),Villa Geneste
Aquitaine (Nouvelle-Aquitaine),I,2001,Teste-de-Buch (La),Villa Téthys
Guadeloupe,I,2008,Abymes (Les),"Maison Petrelluzzi, sise Morne-Fleuri"
Guadeloupe,I,2013,Abymes (Les),Monument aux morts
Guadeloupe,I,2006,Basse-Terre,Eglise Notre-Dame du Mont-Carmel
Guadeloupe,C,1997,Basse-Terre,Palais d'Orléans ou Palais du Gouverneur
Guadeloupe,C,1997,Basse-Terre,Palais de Justice
Guadeloupe,C,1997,Basse-Terre,Palais du Conseil Général
Guadeloupe,I,2008,Désirade (La),"Station météorologique, située à la pointe des châteaux sur l'île de la Désirade"
Guadeloupe,I,2009,Lamentin,Eglise de la Sainte-Trinité
Guadeloupe,I,2009,Lamentin,Groupe scolaire
Guadeloupe,I,2013,Lamentin,Habitation Routa
Guadeloupe,I,2009,Lamentin,Hôtel de Ville
Guadeloupe,I,2009,Lamentin,Maison mortuaire
Guadeloupe,I,2009,Lamentin,Marché
Guadeloupe,I,2009,Lamentin,Presbytère
Guadeloupe,I,1992,Morne-à-l'Eau,Eglise de la paroisse Saint-André
Guadeloupe,I,2013,Pointe-à-Pitre,Capitainerie
Guadeloupe,C,2011,Pointe-à-Pitre,Hôtel de Ville
Guadeloupe,I,2006,Pointe-à-Pitre,Usine sucrière Darboussier
Guadeloupe,I,1992,Pointe-Noire,Mairie
Guyane,C,2013,Cayenne,Ancien Hôpital Jean Martial
Guyane,C,2012,Cayenne,Cathédrale Saint-Sauveur
