"Région","Département","Commune","Référence"
"Provence-Alpes-Côte d'Azur","Var","Sainte-Maxime","PA83000015"
"Provence-Alpes-Côte d'Azur","Alpes-maritimes","Tourrettes-sur-Loup","PA06000008"
"Provence-Alpes-Côte d'Azur","Var","Trans-en-Provence","PA00081771"
"Provence-Alpes-Côte d'Azur","Alpes-maritimes","Vence","PA00080911"
"Provence-Alpes-Côte d'Azur","Alpes-maritimes","Vence","PA06000017"
"Réunion","Reunion","Cilaos","PA97400038"
"Réunion","Reunion","Saint-André","PA97400106"
"Réunion","Reunion","Saint-Benoît","PA97400108"
"Réunion","Reunion","Saint-Benoît","PA97400105"
"Réunion","Reunion","Saint-Denis","PA97400110"
"Réunion","Reunion","Saint-Denis","PA97400128"
"Réunion","Reunion","Saint-Denis","PA97400109"
"Réunion","Reunion","Saint-Denis","PA97400086"
"Réunion","Reunion","Saint-Paul","PA97400119"
"Réunion","Reunion","Saint-Pierre","PA97400081"
"Auvergne-Rhône-Alpes","Savoie","Aix-les-Bains","PA00118169"
"Auvergne-Rhône-Alpes","Haute-savoie","Arâches","PA00118476"
"Auvergne-Rhône-Alpes","Ain","Bourg-en-Bresse","PA01000036"
"Auvergne-Rhône-Alpes","Rhone","Dardilly","PA00118105"
"Auvergne-Rhône-Alpes","Rhone","Eveux","PA00117761"
"Auvergne-Rhône-Alpes","Haute-savoie","Evian-les-Bains","PA00118395"
"Auvergne-Rhône-Alpes","Loire","Firminy","PA42000001"
"Auvergne-Rhône-Alpes","Loire","Firminy","PA00117489"
"Auvergne-Rhône-Alpes","Loire","Firminy","PA42000023"
"Auvergne-Rhône-Alpes","Loire","Firminy","PA00117490"
"Auvergne-Rhône-Alpes","Loire","Firminy","PA00125742"
"Auvergne-Rhône-Alpes","Isere","Grenoble","PA00117184"
"Auvergne-Rhône-Alpes","Isere","Grenoble","PA00117204"
"Auvergne-Rhône-Alpes","Ardeche","Labeaume","PA07000017"
"Auvergne-Rhône-Alpes","Isere","Livet-et-Gavet","PA00117374"
"Auvergne-Rhône-Alpes","Rhone","Lyon","PA00118135"
"Auvergne-Rhône-Alpes","Rhone","Lyon","PA00118139"
"Auvergne-Rhône-Alpes","Rhone","Lyon","PA00118138"
"Auvergne-Rhône-Alpes","Rhone","Lyon 03","PA00118106"
"Auvergne-Rhône-Alpes","Rhone","Lyon 03","PA00117813"
"Auvergne-Rhône-Alpes","Rhone","Lyon 07","PA00118153"
"Auvergne-Rhône-Alpes","Rhone","Lyon 07","PA00117986"
"Auvergne-Rhône-Alpes","Rhone","Lyon 09","PA00118140"
"Auvergne-Rhône-Alpes","Ain","Miribel","PA00125734"
"Auvergne-Rhône-Alpes","Savoie","Modane","PA00118276"
"Auvergne-Rhône-Alpes","Ain","Oyonnax","PA00116445"
"Auvergne-Rhône-Alpes","Loire","Ricamarie (La)","PA42000018"
"Auvergne-Rhône-Alpes","Savoie","Saint-Bon-Tarentaise","PA73000009"
"Auvergne-Rhône-Alpes","Loire","Saint-Etienne","PA42000027"
"Auvergne-Rhône-Alpes","Loire","Saint-Etienne","PA42000010"
"Auvergne-Rhône-Alpes","Loire","Saint-Etienne","PA00117688"
"Auvergne-Rhône-Alpes","Loire","Saint-Etienne","PA00132820"
"Auvergne-Rhône-Alpes","Loire","Saint-Etienne","PA42000017"
"Auvergne-Rhône-Alpes","Loire","Saint-Etienne","PA00117687"
"Auvergne-Rhône-Alpes","Isere","Saint-Marcellin","PA38000027"
"Auvergne-Rhône-Alpes","Rhone","Sainte-Foy-lès-Lyon","PA69000032"
"Auvergne-Rhône-Alpes","Rhone","Vaulx-en-Velin","PA69000044"
"Auvergne-Rhône-Alpes","Rhone","Vénissieux","PA69000026"
"Auvergne-Rhône-Alpes","Rhone","Vénissieux","PA69000018"
"Auvergne-Rhône-Alpes","Isere","Vienne","PA38000018"
"Auvergne-Rhône-Alpes","Rhone","Villeurbanne","PA00118150"
"Auvergne-Rhône-Alpes","Rhone","Villeurbanne","PA00118151"
"Saint-Pierre-et-Miquelon","Saint-Pierre-et-Miquelon","Miquelon-Langlade","PA97500012"
